reference	GSL5	GSL10	GSL15	GSL20	GSL25	GSL30	GSL35	GSL40	GSL45	GSL50	GSL55	GSL60	GSL65	GSL70	GSL75	GSL80	GSL85	GSL90	GSL95	GSL100	GSL105	GSL110	GSL115	GSL120	GSL125	GSL130	GSL135	GSL140	GSL145	GSL150	GSL155	GSL160	GSL165	GSL170	GSL175	GSL180	GSL185	GSL190	GSL195	GSL200	GSL205	GSL210	GSL215	GSL220	GSL225	GSL230	GSL235	GSL240	GSL245	GSL250	GSL255	GSL260	GSL265	GSL270	GSL275	GSL280	GSL285	GSL290	GSL295	GSL315	GSL320	GSL325	GSL330	GSL335	GSL340	GSL345	GSL350	GSL355																																																																					
Time	Area																																																																																																																																								
		9.321	482	8.165	392	7.718	707	10.503	3343	8.174	401	13.564	1103	8.019	1691	10.115	573	9.065	830	8.013	1350	6.997	895	7.349	5375	8.293	6619	6.976	16220	7.097	487	7.397	2553	10.042	318	7.534	704	9.907	468	8.275	2168	7.098	787	8.357	284	9.414	10553	8.296	4412	7.871	7558	8.919	612	8.582	849	7.484	184	8.633	2279	9.827	287	7.702	1772	9.727	314	8.526	527	9.765	994	10.282	694	10.103	569	9.266	357	10.031	487	8.518	312	7.29	1732	7.527	503	8.667	1066	10.478	6033	8.514	2758	7.686	304	8.859	339	9.391	2489	7.523	370	7.89	1719	7.894	245	14.266	712	9.253	327	9.882	339	12.214	990	8.573	313	8.345	150	7.15	8113	7.522	237	9.173	997	10.612	599	15.897	469	14.344	12292	11.496	1272	20.994	1494	11.339	844	20.628	6133	9.744	340	11.599	700
		9.595	1794	8.199	911	7.92	247	10.581	337	8.209	664	13.854	402	8.107	249	10.288	676	9.118	251	8.101	145	7.093	458	7.397	2026	8.357	310	7.091	614	7.227	919	7.481	674	10.111	667	7.602	1343	10.046	647	8.58	204	7.225	497	8.535	1990	9.596	1786	8.357	326	7.917	1499	9.323	811	8.643	3017	7.545	851	8.683	634	9.899	439	7.864	7611	9.761	493	8.573	218	9.825	184	10.493	7254	10.279	562	9.461	1407	10.102	671	8.867	319	7.467	9189	7.592	526	8.78	917	10.557	150	8.559	927	7.849	11760	8.895	418	9.47	1893	7.848	12522	7.99	2171	8.274	25732	14.35	18977	9.449	1227	10.02	338	12.245	412	8.629	1825	8.522	2005	7.336	5372	7.589	514	9.45	1149	10.648	1657	15.938	1080	14.513	393	11.601	840	21.482	1020	11.414	574	20.993	416	9.806	262	11.801	309
		9.83	234	8.293	5390	8.299	22558	10.64	988	8.303	6726	14.378	17509	8.17	532	10.499	4064	9.413	4762	8.161	609	7.226	911	7.481	601	8.535	2813	7.163	8596	7.306	2873	7.545	817	10.284	801	7.699	2654	10.115	716	8.644	2079	7.309	1614	8.581	726	9.733	160	8.536	2467	8.013	1963	9.415	14384	8.69	884	7.611	1567	8.791	5326	10.004	220	7.909	1372	9.824	351	8.633	1577	10.039	314	10.572	354	10.489	2605	9.584	2145	10.275	917	8.903	721	7.585	242	7.852	11648	8.899	252	10.617	605	8.62	3432	7.991	2636	9.172	1400	9.582	1269	7.99	2841	8.255	2910	8.507	861	14.421	486	9.572	2041	10.092	711	12.765	473	8.677	1035	8.568	510	7.384	1662	7.853	362	9.573	1370	10.716	2290	16.607	1188	14.816	983	11.915	1323	21.764	414	11.495	817	21.377	516	9.879	421	11.912	1091
		9.903	313	8.355	399	8.533	336	10.682	2114	8.366	254	14.847	15706	8.203	1100	10.578	333	9.623	2772	8.197	1012	7.304	3008	7.543	820	8.579	920	7.349	5367	7.365	811	7.611	844	10.495	4267	7.862	11739	10.29	894	8.689	648	7.486	8589	8.642	2225	9.83	363	8.582	786	8.296	4120	9.589	2732	8.802	7020	7.708	2918	8.909	305	10.039	424	8.008	2007	9.897	480	8.727	1297	10.104	613	10.631	1656	10.568	282	9.705	755	10.486	5344	9.181	1576	7.697	1025	7.994	2769	9.216	3615	10.722	1437	8.668	1008	8.276	1800	9.254	304	9.71	367	8.409	570	8.618	2974	8.856	420	14.52	339	9.694	616	10.265	807	12.987	4287	8.787	864	8.628	1597	7.468	213	7.994	1418	9.694	546	10.819	751	17.089	613	14.912	3307	12.055	5910	22.511	1637	11.599	701	21.478	245	9.983	197	12.054	4433
		10.042	351	8.535	2526	8.882	430	10.746	2906	8.546	2685	14.947	678	8.298	6324	10.636	2083	9.733	21730	8.292	6616	7.363	870	7.611	787	8.641	3422	7.398	1473	7.483	10093	7.871	19742	10.574	375	7.906	1989	10.5	5217	8.803	1041	7.717	971	8.693	744	9.903	353	8.642	2810	8.642	2599	9.735	412	8.919	481	7.871	13338	9.166	654	10.107	748	8.095	214	10.004	235	8.794	2773	10.281	768	10.67	2323	10.629	919	9.821	348	10.568	387	9.263	372	7.899	366	8.412	552	9.3	701	10.828	713	8.779	8031	8.409	529	9.449	1482	9.746	680	8.619	1928	8.664	900	8.892	826	14.579	1021	10.21	521	10.476	5331	13.082	524	8.907	392	8.787	6451	7.532	841	8.147	327	10.211	508	10.91	891	17.359	368	15.844	724	12.212	846	23.126	1391	12.053	3144	22.45	4416	10.017	367	12.147	692
		10.111	666	8.58	848	8.918	448	10.853	1018	8.589	901	16.087	309	8.36	470	10.675	2141	9.831	4593	8.352	424	7.481	10886	7.869	17287	8.689	1015	7.484	440	7.603	283	8.012	4500	10.633	1104	8.006	3743	10.583	391	8.92	1010	7.918	297	8.801	6969	10.009	303	8.69	822	8.688	1107	9.773	415	9.181	1059	7.915	2219	9.324	9005	10.282	849	8.157	607	10.036	509	9.041	486	10.492	3902	10.737	3309	10.67	2022	9.932	213	10.625	1376	9.458	1589	8.28	32211	8.623	2023	9.394	969	10.914	1320	8.896	376	8.513	493	9.573	2635	9.807	417	8.714	1961	8.777	1492	9.17	1947	14.919	3644	10.577	356	10.559	354	13.155	2650	9.312	826	8.904	577	7.597	856	8.277	1078	10.575	381	11.026	890	17.439	1892	15.902	730	12.764	447	23.386	1511	12.145	208	22.505	3884	10.087	570	12.211	1287
		10.286	780	8.641	2822	9.195	1878	10.942	1175	8.652	3200	16.25	241	8.42	243	10.743	2994	9.902	188	8.534	2916	7.601	315	8.011	4027	8.8	7994	7.545	959	7.713	1270	8.271	1139	10.674	2478	8.065	624	10.639	1306	9.325	866	8.298	28848	8.917	206	10.042	492	8.801	7848	8.8	1532	9.832	430	9.335	11905	8.014	4240	9.405	2923	10.494	5214	8.192	978	10.108	751	9.323	3952	10.571	168	10.842	1239	10.733	2681	10.223	553	10.664	2915	9.582	2962	8.513	1130	8.678	228	9.568	2725	11.033	846	9.043	204	8.62	2047	9.639	190	9.88	4633	8.781	347	8.895	805	9.251	506	15.696	217	10.613	1370	10.615	1515	13.47	203	9.404	775	9.161	614	7.857	16428	8.567	225	10.616	881	11.293	424	19.394	692	15.939	1243	12.98	1366	23.548	322	13.529	1428	23.122	1211	10.262	763	12.763	512
		10.496	4649	8.686	1054	9.276	471	11.058	1467	8.701	959	16.418	2479	8.54	3404	10.851	1026	10.039	660	8.578	970	7.711	1232	8.271	1331	8.916	452	7.61	964	7.916	292	8.429	978	10.739	3414	8.094	844	10.68	2837	9.416	12169	8.532	847	9.175	723	10.112	930	8.918	337	8.918	1245	9.904	754	9.415	3818	8.069	803	9.453	626	10.575	340	8.288	7458	10.28	940	9.407	1423	10.63	1484	10.931	1851	10.847	1022	10.449	423	10.73	3977	9.647	224	8.863	569	8.718	2247	9.713	350	11.175	841	9.155	1036	8.714	1429	9.693	638	9.989	612	9.028	608	9.151	267	9.307	287	16.221	1613	10.808	453	10.654	2831	13.534	1254	9.516	840	9.32	11403	7.998	4100	8.623	2597	10.808	389	11.34	1673	19.707	669	16.609	504	13.53	2297	23.638	587	14.343	12038	23.383	541	10.472	3901	12.981	1819
		10.579	346	8.8	8276	9.472	1697	11.113	201	8.81	7624	17.396	20981	8.584	1076	10.939	1152	10.109	1505	8.64	3238	7.915	335	8.428	866	9.063	207	7.871	16766	8.296	36713	8.641	3258	10.845	1192	8.158	774	10.744	3854	9.592	2189	8.578	1572	9.332	10480	10.287	865	9.066	181	9.173	463	9.948	187	9.464	804	8.102	1027	9.484	1610	10.632	1235	8.348	362	10.492	5721	9.57	4200	10.737	2033	11.048	1725	10.929	987	10.484	717	10.835	1486	9.704	1013	8.898	698	8.785	609	9.748	515	11.244	185	9.311	13737	8.781	2491	9.809	288	10.024	511	9.132	275	9.299	990	9.447	2039	16.953	292	11.524	49959	10.72	3800	13.824	805	9.578	2358	9.399	3442	8.151	707	8.669	620	10.869	197	11.415	837	19.922	1510	17.09	710	14.345	10385	24.521	1101	14.512	258	23.546	244	10.551	344	13.529	1732
		10.633	1185	8.916	309	9.595	3327	11.269	241	8.926	598	17.478	454	8.646	3852	11.055	1490	10.178	465	8.685	1211	8.293	37813	8.64	2907	9.179	1241	8.013	4317	8.436	359	8.735	3761	10.936	1368	8.191	2112	10.854	1499	9.733	317	8.881	430	9.413	4001	10.498	8437	9.178	1094	9.325	1211	10.012	343	9.494	2173	8.168	939	9.593	1478	10.674	2512	8.409	237	10.573	367	9.764	340	10.841	1158	11.103	235	11.046	984	10.589	387	10.925	2017	9.757	611	9.176	2470	9.032	566	9.811	371	11.347	2511	9.392	4403	9.033	526	10.21	598	10.092	716	9.293	335	9.391	17881	9.57	3538	17.448	885	11.739	1261	10.823	1290	14.348	21078	9.717	333	9.478	2408	8.282	908	8.781	630	11.523	49676	11.495	1230	20.085	1362	17.36	456	14.515	649	24.61	1225	14.813	331	23.631	185	10.611	786	14.343	11265
