reference	GSL5	GSL10	GSL15	GSL20	GSL25	GSL30	GSL35	GSL40	GSL45	GSL50	GSL55	GSL60	GSL65	GSL70	GSL75	GSL80	GSL85	GSL90	GSL95	GSL100	GSL105	GSL110	GSL115	GSL120	GSL125	GSL130	GSL135	GSL140	GSL145	GSL150	GSL155	GSL160	GSL165	GSL170	GSL175	GSL180	GSL185	GSL190	GSL195	GSL200	GSL205	GSL210	GSL215	GSL220	GSL225	GSL230	GSL235	GSL240	GSL245	GSL250	GSL255	GSL260	GSL265	GSL270	GSL275	GSL280	GSL285	GSL290	GSL295	GSL315	GSL320	GSL325	GSL330	GSL335	GSL340	GSL345	GSL350	GSL355																																																																					
Time	Area																																																																																																																																								
		18.728	756	11.626	2590	14.548	347	20.189	650	11.635	2773	29.255	1249	11.181	2016	19.986	248	13.688	972	11.44	2996	12.231	8157	16.576	344	11.672	1397	14.838	1736	12.234	5453	16.577	503	19.425	1531	10.421	4914	18.732	511	12.559	1199	12.499	693	11.887	13318	13.69	704	11.714	273	11.829	2655	12.952	491	12.028	1605	10.427	5601	12.129	1422	16.968	1486	11.046	3366	16.237	359	15.508	228	18.725	470	15.51	286	19.663	468	19.282	923	18.718	607	15.958	857	13.003	5288	23.14	785	13.132	2198	15.952	1566	11.867	14466	14.921	8625	19.02	347	13.281	152	21.771	273	12.211	2365	13.983	3067	28.256	892	21.768	236	19.649	323	25.33	6783	12.769	855	12.121	979	15.953	762	12.248	667	22.907	363	23.64	497	26.755	1356	27.568	1778	24.656	594	29.889	10272	26.533	598	30.735	4367	20.083	2647	23.386	1075
		18.871	360	11.672	1152	14.836	868	20.648	5069	11.682	1540	29.402	925	11.27	601	20.117	3064	13.774	636	11.488	2088	12.494	416	16.635	478	11.768	797	14.938	6627	12.496	1161	16.969	504	19.669	334	10.494	90583	18.87	357	12.679	244	12.572	2247	11.96	1201	13.805	1052	11.888	11606	11.925	7785	13.012	4891	12.082	36966	10.499	107687	12.224	1031	17.116	1550	11.097	602	16.966	649	15.57	403	18.863	557	15.569	976	19.73	1392	19.333	796	18.857	358	16.626	1386	13.059	189	23.399	1097	13.538	5418	16.222	1955	11.936	1733	15.196	483	19.27	913	13.397	2297	22.722	3518	12.243	1377	14.057	1252	28.436	15217	22.37	521	19.715	1475	26.49	145	12.996	4283	12.219	1652	16.221	438	12.314	296	23.116	959	23.813	513	26.956	2083	27.711	2474	25.137	1510	29.98	3285	26.753	1419	30.905	1646	20.151	545	23.549	330
		19.428	1536	11.715	258	14.942	563	21.033	2229	11.779	657	29.551	422	11.371	7091	20.184	775	13.804	952	11.518	5829	12.568	901	16.968	354	11.884	15812	15.214	399	12.534	431	17.118	1575	19.737	1471	10.575	2758	19.428	1737	12.785	1412	12.613	5091	12.027	1197	13.851	334	11.958	1767	12.081	29238	13.14	1833	12.138	1886	10.582	3194	12.259	1359	17.386	995	11.17	1912	17.114	1552	15.863	550	19.285	363	15.608	611	19.977	449	19.57	405	19.104	269	16.958	1700	13.152	995	23.651	699	13.893	289	16.392	354	12.007	1833	15.43	229	19.963	240	13.474	327	23.134	852	12.311	540	14.158	600	28.544	467	22.512	2247	20.092	3161	26.544	470	13.11	327	12.249	1676	16.394	249	12.756	1503	23.321	5996	24.524	1288	27.567	6702	28.25	727	25.262	656	30.264	3116	26.955	1767	31.167	10793	20.346	287	23.638	482
		19.672	325	11.77	548	15.134	397	21.162	356	11.896	14772	29.796	292	11.446	3185	20.498	248	13.845	2764	11.625	3304	12.61	5704	17.117	1379	11.957	1583	15.866	276	12.612	6047	17.157	464	20.113	3510	10.625	4770	19.674	349	12.843	468	12.785	3318	12.08	42667	14.246	192	12.027	1558	12.233	11938	13.177	1174	12.234	1748	10.633	4552	12.324	312	17.467	5376	11.262	742	17.384	1054	15.924	200	19.42	1522	15.771	655	20.108	2498	19.729	215	19.278	169	17.4	1390	13.398	2148	23.994	331	14.381	362	16.559	2825	12.06	45018	15.496	229	20.161	636	13.534	14518	23.395	1124	12.373	524	14.349	20735	28.607	76284	22.904	1034	20.354	517	26.938	2542	13.541	5149	12.315	392	16.56	2615	12.985	1883	23.643	166	24.605	660	27.71	2045	28.364	513	25.313	38493	30.376	512	27.564	716	31.316	1520	20.629	3800	24.519	1572
		19.739	1494	11.885	14767	15.644	1033	21.371	334	11.968	1415	29.943	1101	11.523	8769	20.643	13341	13.981	349	11.671	1923	12.781	4177	17.158	433	12.024	1669	15.928	798	12.782	4601	17.388	701	20.377	312	10.687	8546	19.741	1642	12.877	576	12.873	489	12.136	2081	14.333	225	12.081	49444	12.331	685	13.557	22413	12.267	1816	10.674	11549	12.387	251	18.212	247	11.361	8322	17.465	5605	16.237	1054	19.665	316	15.862	1918	20.175	1408	19.974	466	19.413	1693	17.458	530	13.504	850	24.531	1553	14.523	1087	16.632	940	12.115	270	15.557	372	20.35	1081	13.667	358	23.556	279	12.476	371	14.526	624	28.783	1685	23.118	1889	20.644	7317	27.573	1146	14.357	21482	12.378	348	16.638	644	13.085	791	23.817	244	24.649	619	28.249	880	28.431	14785	25.364	202	30.507	8275	27.709	1883	31.703	661	20.993	2122	25.136	1104
		20.115	3563	11.959	1315	15.857	306	21.423	619	12.035	1453	30.008	504	11.63	3635	21.028	2239	14.106	1186	11.768	1257	12.869	674	17.387	600	12.079	43473	16.241	439	12.87	657	17.469	3432	20.643	6865	10.74	11705	20.116	3947	12.953	465	13.019	5061	12.22	913	14.383	8930	12.137	2266	12.393	522	13.691	586	12.332	414	10.745	13307	12.779	900	18.726	503	11.435	3503	18.136	512	16.405	229	19.733	1448	15.92	640	20.367	745	20.361	1252	19.575	658	17.624	938	13.54	1066	25.149	1627	14.823	1987	16.784	731	12.209	831	15.855	308	20.649	6002	13.778	1927	23.647	767	12.541	2568	14.663	260	29.149	1124	23.323	2631	20.876	370	27.718	1024	14.527	1631	12.541	856	16.776	317	13.15	1910	23.988	532	24.728	773	28.289	839	28.544	286	25.846	900	30.649	2808	28.248	712	32.015	59756	21.124	305	25.166	439
		20.183	738	12.026	1379	15.967	1128	21.52	1279	12.089	38334	30.211	822	11.677	1635	21.156	678	14.242	259	11.832	282	13.02	7539	17.468	3048	12.134	270	16.573	303	13.024	8210	17.769	420	20.898	589	10.845	4458	20.184	995	13.018	5630	13.098	182	12.266	1627	14.545	2720	12.228	1238	12.495	384	13.803	1566	12.396	337	10.852	4965	12.836	152	18.865	456	11.514	8361	18.211	318	16.572	340	19.978	1364	15.966	1199	20.683	6642	20.664	7463	19.659	485	18.617	274	13.696	700	25.324	6750	14.921	10075	16.891	391	12.246	1846	16.223	970	21.016	425	14.016	935	24.527	1733	12.656	404	14.822	412	29.367	6970	23.647	177	21.003	2794	28.045	476	14.827	2316	12.582	965	16.893	532	13.535	5060	24.523	263	25.138	1576	28.362	1334	28.605	201651	25.968	445	30.741	3566	28.428	12952	32.3	1067	21.329	423	25.26	280
		20.381	214	12.08	54103	16.239	602	21.8	447	12.146	1915	30.313	1686	11.718	464	21.365	1124	14.374	19845	11.884	17834	13.172	478	17.768	422	12.229	1149	16.634	1597	13.147	3011	18.426	1109	21.025	2983	10.928	9587	20.382	269	13.138	4624	13.176	719	12.33	360	14.6	962	12.266	2190	12.54	1176	13.852	328	12.559	403	10.934	10957	12.94	1207	19.112	281	11.62	4032	18.723	780	16.964	498	20.109	3274	16.236	1482	20.785	536	20.847	229	19.726	1787	18.854	654	13.99	3781	25.376	2852	15.845	2476	16.952	780	12.31	467	16.392	260	21.164	2172	14.224	310	25.145	1082	12.762	1718	14.918	532	29.436	2780	23.697	504	21.342	227	28.297	359	14.925	9877	12.769	1937	16.954	686	13.648	830	24.733	426	25.313	41309	28.429	13056	28.798	957	26.177	1941	30.909	1498	28.535	248	32.912	5621	21.38	7256	25.312	33836
		20.642	5005	12.135	178	16.663	975	22.451	6977	12.241	2166	30.555	2080	11.774	1370	21.422	9493	14.565	2635	11.956	1859	13.41	1899	18.424	1800	12.264	1762	17.118	1625	13.413	2080	19.425	1397	21.154	366	11.047	5823	20.659	6267	13.557	19866	13.412	1774	12.393	308	14.682	275	12.33	500	12.589	769	14.038	486	12.788	1381	11.052	6637	12.999	2616	19.286	172	11.668	1883	18.863	362	17.114	1293	20.177	1237	16.407	646	21.018	2130	21.029	454	20.102	3846	19.026	381	14.064	1525	26.188	2782	15.911	2110	17.005	606	12.374	398	16.559	331	21.394	29141	14.265	380	25.176	917	12.821	642	15.62	834	29.517	1139	23.988	506	21.391	11482	28.433	5074	15.507	513	12.827	583	17.101	1349	14.35	22737	24.821	326	25.364	235	28.54	413	29.024	299	26.291	374	31.056	1307	28.599	54879	33.001	1523	21.479	2876	25.361	163
		21.028	3007	12.229	606	16.975	1355	22.501	838	12.274	1841	30.654	18504	11.836	275	21.513	5127	14.599	1449	12.024	1948	13.46	228	18.631	301	12.329	462	17.16	275	13.517	1140	19.737	1186	21.363	552	11.097	921	20.901	304	13.69	707	13.519	767	12.48	326	14.75	379	12.394	368	12.678	243	14.247	543	12.844	623	11.102	851	13.127	960	19.422	1828	11.764	1481	19.11	276	17.153	569	20.37	759	16.447	228	21.146	1277	21.174	1079	20.364	446	19.278	1613	14.165	767	26.34	687	16.223	391	17.101	1216	12.473	333	16.951	422	21.772	287	14.376	1571	25.32	7467	12.855	801	15.831	301	29.657	1140	24.621	597	21.489	3612	28.61	182199	15.635	670	12.86	581	17.137	4042	14.52	1364	25.173	247	25.61	927	28.603	163691	29.143	2241	26.362	5133	31.164	21841	29.141	1036	33.765	908	21.76	467	25.846	423
		21.157	472	12.266	1737	17.416	630	22.545	656	12.339	440	30.794	4261	11.89	18493	21.795	503	14.681	749	12.079	67479	13.515	1038	18.702	893	12.392	379	17.388	679	13.552	854	19.986	234	21.413	6106	11.172	4551	21.028	2825	13.804	1536	13.554	912	12.555	920	14.841	1757	12.556	445	12.786	3792	14.288	690	12.877	590	11.178	4889	13.169	1249	19.667	486	11.826	392	19.283	148	17.385	739	20.494	536	16.572	2486	21.354	2442	21.405	31514	20.483	362	19.329	744	14.356	23956	26.371	960	16.952	846	17.136	4963	12.537	873	17.101	1267	22.037	261	14.523	1370	25.371	2880	12.93	593	15.948	683	29.797	15838	24.823	289	21.768	458	28.777	773	15.85	1669	12.931	1593	17.226	938	14.82	2190	25.319	429	26.177	2460	28.68	168	29.26	1410	26.537	1481	31.32	1793	29.362	1081	33.944	10627	22.442	4006	26.177	1385
		21.365	778	12.33	428	17.475	414	22.665	5164	12.402	352	30.961	939	11.962	2043	22.449	6590	14.839	17446	12.136	165	13.551	1223	19.424	1293	12.554	830	17.469	3445	13.708	876	20.376	359	21.51	3865	11.265	1270	21.158	678	13.852	332	13.712	565	12.597	872	14.94	11285	12.786	1586	12.844	845	14.373	26624	12.949	1650	11.271	1304	13.295	186	19.734	2109	11.881	19275	19.419	1911	17.464	4290	20.643	22100	16.658	358	21.405	16132	21.781	266	21.013	3427	19.726	220	14.532	840	26.764	1238	17.101	1980	17.225	2130	12.578	928	17.139	557	22.091	665	14.579	897	26.184	2637	12.994	6778	16.087	587	29.857	1906	25.264	145	22.369	251	29.147	1444	15.914	361	12.999	5617	17.308	305	14.919	8703	25.37	767	26.286	824	28.796	1452	29.361	2335	26.756	1830	31.578	612	29.451	527	34.12	4455	22.505	2499	26.361	2810
		21.421	3571	12.394	353	18.427	955	22.758	258	12.498	342	31.203	8439	12.03	2220	22.501	880	14.939	5036	12.167	290	13.709	1028	19.736	1067	12.595	753	18.427	2299	14.003	4773	20.642	9551	21.79	545	11.361	15295	21.365	1187	14.037	517	14.006	3436	12.779	3185	14.987	885	12.843	780	12.877	1316	14.544	2863	13.013	4949	11.367	17508	13.409	2515	19.979	535	11.952	2531	19.664	507	17.764	801	20.78	205	16.8	927	21.505	3319	22.048	339	21.349	427	19.97	454	14.67	516	26.97	3761	17.371	1244	17.306	679	12.764	1816	17.371	706	22.374	871	14.82	1627	26.761	1254	13.119	1999	16.216	1131	29.919	4461	25.32	988	22.41	687	29.218	316	16.148	430	13.12	3323	17.373	758	15.844	1956	25.613	390	26.362	1412	28.905	979	29.449	907	26.958	2745	32.02	58815	29.507	1256	34.376	1776	22.657	4005	26.536	803
		21.513	2823	12.485	162	18.874	617	23.164	3426	12.56	1297	31.376	607	12.084	73021	22.543	1133	14.986	1419	12.229	726	14.001	4608	19.984	212	12.783	1557	18.632	479	14.077	1928	21.026	1789	22.101	271	11.437	6621	21.418	5028	14.111	621	14.079	1132	12.842	630	15.047	286	12.874	721	12.951	1207	14.601	983	13.138	3033	11.442	7456	13.489	357	20.111	3457	12.021	2384	19.732	2101	18.211	922	21.021	2664	16.868	501	21.786	782	22.101	850	21.397	6647	20.169	1009	14.71	481	27.577	591	17.452	6491	17.373	1162	12.823	743	17.451	4134	22.479	2306	14.919	9831	26.965	4164	13.155	1709	16.64	769	29.987	3138	25.371	473	22.511	7484	29.364	1244	16.226	500	13.16	1490	17.453	3090	15.909	1164	26.184	473	26.452	422	29.025	946	29.509	1647	27.044	325	32.299	2470	29.65	1751	35.248	5637	22.716	922	26.755	1631
		21.796	526	12.553	419	19.044	311	23.426	1621	12.606	979	31.443	771	12.139	345	22.66	11990	15.045	473	12.264	2093	14.077	1689	20.64	14785	12.84	720	18.703	886	14.177	1103	21.412	2839	22.455	3154	11.485	4868	21.515	3371	14.247	485	14.18	385	12.875	546	15.214	7115	12.947	1793	13.012	5293	14.842	3442	13.178	1545	11.492	5336	13.549	16353	20.178	1753	12.074	57335	20.109	3638	18.435	1819	21.149	966	16.904	546	21.832	661	22.384	1475	21.499	2804	20.358	1963	14.829	891	27.722	2314	18.121	656	17.452	3974	12.855	656	17.751	774	22.517	3443	15.194	1753	27.572	923	13.322	174	16.761	538	30.269	2528	26.497	398	22.687	9006	29.514	1305	16.62	4561	13.285	303	17.697	184	16.221	396	26.456	471	26.536	1044	29.143	2382	29.652	1806	27.1	559	32.784	743	29.788	10653	35.594	3148	23.121	5031	26.957	2208
		22.445	1367	12.782	1876	19.296	618	23.587	335	12.793	1568	31.562	3421	12.231	872	22.753	384	15.213	11805	12.327	507	14.177	831	21.025	1644	12.873	623	18.869	493	14.285	124	21.511	1045	22.537	1090	11.517	12801	21.796	927	14.289	819	14.371	21598	12.947	1575	15.446	3928	13.023	3188	13.134	5043	14.941	18987	13.303	262	11.521	14598	13.683	474	20.372	459	12.13	374	20.176	1076	18.699	1571	21.356	1380	16.963	1152	22.103	614	22.495	6252	21.78	549	20.65	11681	14.924	707	28.262	789	18.197	403	17.698	266	12.927	1897	18.198	903	22.687	6070	15.312	732	27.719	2185	13.535	19480	16.95	1739	30.384	367	26.555	607	22.83	395	29.676	510	16.687	698	13.398	3738	17.753	2046	16.615	1087	26.494	605	26.756	1964	29.239	1527	29.791	19616	27.28	372	33.947	10153	29.888	2075			23.384	1770	27.71	2443
		22.543	841	12.842	825	19.743	238	23.68	736	12.852	677	31.716	709	12.27	2378	23.158	2851	15.445	7093	12.392	439	14.286	199	21.361	102	12.944	1853	19.425	1432	14.369	28100	21.792	460	22.663	6400	11.621	7791	21.841	650	14.373	20871	14.546	1107	13.024	2722	15.511	117	13.135	3891	13.511	213	15.216	3903	13.414	4061	11.627	8841	13.793	2603	20.489	301	12.223	1100	20.37	547	18.864	376	21.415	32079	17.021	824	22.489	4033	22.693	9015	22.415	322	20.843	227	15.116	338	28.37	580	18.465	576	17.751	3285	12.989	3427	18.684	386	22.907	1758	15.427	1201	28.256	802	13.619	163	17.392	812	30.512	6723	26.967	480	23.132	6391	29.757	693	16.867	380	13.481	551	18.324	400	16.949	791	26.543	718	26.958	2669	29.36	3473	29.89	4791	27.566	421	34.125	4705	30.163	444			23.545	351	28.251	1110
		22.659	5421	12.874	731	19.987	196	23.837	1102	12.884	618	31.909	1986	12.333	556	23.421	1710	15.557	339	12.48	510	14.368	23368	21.417	6776	13.009	4447	19.737	1292	14.543	1042	22.451	5477	22.748	481	11.668	4557	22.47	5625	14.545	3096	14.688	237	13.136	3261	15.571	703	13.177	1463	13.556	15299	15.336	904	13.503	480	11.675	4721	13.847	463	20.651	6560	12.26	2313	20.487	331	19.106	323	21.504	8268	17.114	1790	22.53	9033	22.919	515	22.528	976	21.022	470	15.628	696	28.442	14658	18.709	925	18.116	304	13.112	1933	19.094	255	22.961	278	15.493	526	28.437	16286	13.668	1093	17.45	603	30.658	1504	27.577	1055	23.394	1845	29.809	1383	16.956	1123	13.54	22285	18.403	962	17.099	1930	26.966	1098	27.044	257	29.439	1681	30.109	509	27.712	3069	34.379	1814	30.263	3322			23.634	628	28.293	636
		22.753	310	12.947	1902	20.186	733	23.953	231	12.955	1730	32.072	19874	12.397	470	23.582	463	15.606	1210	12.552	1258	14.542	1242	21.51	3555	13.132	2059	19.985	297	14.684	701	22.508	835	23.154	5080	11.764	3141	22.542	3620	14.6	1248	14.836	1174	13.176	1425	15.61	1056	13.302	323	13.688	405	15.448	1914	13.558	22062	11.77	3838	14.03	1032	20.784	315	12.325	580	20.645	10439	19.284	267	21.788	1105	17.151	3521	22.728	6386	23.13	1494	22.735	3425	21.171	2877	15.839	392	28.557	998	18.851	505	18.197	598	13.158	1439	19.271	206	23.12	1924	15.554	1188	28.545	929	13.782	1926	17.669	214	30.747	4730	27.719	388	23.556	431	29.894	1144	17.104	1980	13.671	576	18.568	478	17.368	1206	27.287	276	27.568	3773	29.508	1983	30.164	541	28.255	1178	35.256	15244	30.506	7331			23.91	320	28.362	1515
		23.158	3924	13.021	3075	20.376	748	24.084	604	13.027	7211	32.321	10872	12.488	627	23.676	902	15.714	311	12.594	866	14.682	604	21.793	683	13.175	1699	20.185	563	14.721	859	22.538	586	23.416	2005	11.822	580	22.688	4431	14.684	183	14.939	506	13.301	279	15.777	717	13.415	6060	13.79	431	15.516	508	13.689	599	11.888	43638	14.239	352	21.021	2897	12.388	488	20.781	193	19.42	1360	21.833	750	17.238	1010	22.839	480	23.334	5735	23.143	6452	21.408	68591	15.953	1504	28.616	219311	19.097	371	18.402	915	13.281	295	19.406	1266	23.326	7419	15.596	323	28.61	212083	13.825	570	18.607	548	30.914	1730	28.301	853	23.646	715	30.111	713	17.374	1122	13.783	3497	18.946	665	17.449	5118	27.576	4299	27.711	2656	29.649	2058	30.265	3758	28.293	1319	35.6	7476	30.641	5842			24.379	363	28.431	13120
		23.42	1973	13.134	3470	20.645	7834	24.348	873	13.146	3738	32.79	1340	12.558	1350	23.831	1676	15.775	463	12.78	2115	14.721	729	21.839	450	13.299	299	20.378	311	14.83	2160	22.663	6470	23.577	452	11.882	37469	22.752	778	14.838	4617	15.13	359	13.413	7393	15.863	2471	13.498	427	13.911	297	15.575	1859	13.801	3630	11.956	4987	14.28	503	21.149	1484	12.487	458	21.019	2711	19.665	323	22.055	181	17.385	1056	23.148	1990	23.47	513	23.404	2243	21.78	309	16.094	760	28.789	1309	19.272	330	18.612	256	13.394	4318	19.653	283	23.646	216	15.758	432	29.026	348	13.888	161	18.68	493	31.064	1125	28.438	3561	23.924	463	30.169	1808	17.455	5632	13.834	632	18.978	770	17.617	288	27.719	715	28.251	933	29.754	5112	30.375	369	28.365	4720			30.738	4258			24.517	2284	28.541	969
		23.582	426	13.177	1619	20.901	295	24.423	197	13.185	1628	32.964	13100	12.599	1043	23.948	272	15.863	916	12.84	969	14.827	2341	22.446	17548	13.408	4792	20.641	16422	14.939	790	22.751	824	23.669	1016	11.951	4690	23.159	4327	14.941	16648	15.64	2873	13.5	404	15.929	828	13.556	56078	14.036	241	15.615	1039	13.853	535	12.026	5356	14.366	20871	21.357	2610	12.552	1218	21.147	999	19.731	1438	22.465	10132	17.466	5313	23.333	1121	23.657	225	23.566	378	21.998	800	16.222	1438	28.915	523	19.407	2337	18.848	321	13.48	506	19.718	1350	23.694	489	15.847	1099	29.15	1210	14.014	541	18.845	715	31.188	2690	28.553	949	24.39	232	30.268	3488	17.592	384	14.02	1530	19.098	211	17.751	398	28.046	559	28.361	288	29.789	15223	30.505	8116	28.434	15958			30.907	1625			24.601	828	28.604	212433
		23.673	1134	13.301	346	21.19	1569	24.511	258	13.31	290	33.172	5901	12.681	213	24.289	153	15.929	1215	12.872	882	14.936	1077	22.539	1978	13.496	488	21.026	2263	15.127	345	23.156	1159	23.723	925	12.021	4580	23.42	2273	15.048	274	15.854	424	13.556	51434	15.97	2750	13.688	512	14.111	465	15.697	1462	14.039	1446	12.083	176313	14.439	1410	21.408	10258	12.591	1333	21.355	1642	19.98	321	22.534	6147	17.764	2718	23.406	2621	24	1093	23.655	846	22.047	228	16.648	985	29.152	1373	19.653	624	18.944	717	13.535	25370	19.931	232	23.82	389	15.952	784	29.219	604	14.085	849	19.018	497	31.236	3199	28.608	15742	24.531	2015	30.511	7628	17.675	445	14.229	517	19.269	416	17.997	476	28.296	108	28.43	16592	29.887	9252	30.63	11019	28.627	1609909			31.054	815			24.644	742	28.794	1658
		23.729	597	13.413	7033	21.421	28151	24.562	1508	13.419	4278	33.417	1155	12.786	2299	24.345	1497	15.969	4227	12.945	2233	15.126	358	22.659	10115	13.554	25526	21.154	984	15.639	848	23.417	1728	23.845	1701	12.077	156545	23.582	411	15.215	6264	15.966	1748	13.688	442	16.238	1654	13.798	4277	14.246	633	15.777	1246	14.247	465	12.135	640	14.538	1598	21.506	3661	12.67	264	21.407	11634	20.11	475	22.669	19511	18.132	576	23.527	293	24.537	687	23.934	697	22.224	342	16.766	674	29.371	2026	19.72	2493	18.975	787	13.669	573	19.967	400	23.99	532	16.221	1383	29.366	1285	14.224	574	19.089	271	31.325	1964	28.778	675	24.657	736	30.639	19552	18.128	983	14.27	714	19.306	306	18.192	184	28.438	3551	28.537	269	30	3020	30.739	5811	28.781	5408			31.175	9322			25.133	2213	28.906	1116
		23.83	1250	13.499	413	21.798	459	24.648	550	13.506	478	33.853	988	12.846	1028	24.511	506	16.077	985	13.021	3665	15.635	685	22.751	434	13.686	602	21.362	1524	15.851	571	23.578	387	23.944	745	12.129	503	23.673	849	15.334	813	16.079	257	13.797	4032	16.411	797	13.853	454	14.289	1588	15.862	3753	14.289	571	12.224	1681	14.595	1064	21.789	1094	12.777	2399	21.504	3919	20.368	565	23.149	3279	18.212	721	23.57	212	24.627	809	24	877	22.382	2164	16.956	2297	29.443	377	19.965	641	19.092	458	13.778	4076	20.099	455	24.526	213	16.39	660	29.45	471	14.265	642	19.269	1380	32.026	52634	29.15	526	25.143	2322	30.745	13420	18.198	642	14.355	19217	19.407	1867	18.705	870	28.559	291	28.601	66283	30.111	1105	30.909	1709	28.909	3203			31.319	1455			25.31	52395	29.02	1043
		23.947	352	13.556	61864	22.401	717	24.691	675	13.565	23546	34.024	5190	12.877	941	24.557	2035	16.232	1644	13.132	4662	15.849	517	23.156	923	13.796	4094	21.419	9352	15.964	2743	23.67	1113	24.358	466	12.222	1735	23.733	541	15.447	3168	16.11	594	13.85	525	16.449	403	13.911	173	14.373	25019	15.93	640	14.375	21452	12.268	5672	14.835	1627	21.833	647	12.837	894	21.785	699	20.492	246	23.344	3055	18.417	617	23.659	576	25.331	1252	24.277	254	22.482	5633	17.396	831	29.523	1611	20.096	5055	19.261	590	13.828	587	20.163	381	24.623	798	16.433	365	29.518	1102	14.353	32797	19.716	344	32.794	617	29.22	1141	25.319	61993	30.914	2106	18.712	1190	14.526	2039	19.568	590	18.847	530	28.608	12171	28.797	911	30.161	960	31.056	1016	29.016	3527			31.709	690			25.359	246	29.142	3129
		24.077	859	13.688	553	22.451	5034	25.177	2022	13.696	613	34.217	2335	12.951	2396	24.686	455	16.409	4278	13.175	1815	15.962	2371	23.417	1616	13.845	537	21.512	4036	16.108	1099	23.844	1470	24.411	360	12.261	4842	23.947	453	15.514	278	16.235	1732	13.912	212	16.577	5621	14.037	1948	14.442	275	15.973	2016	14.546	2164	12.331	1327	14.934	10730	22.379	356	12.87	861	22.096	295	20.643	14322	23.41	3566	18.727	855	23.936	506	25.382	711	24.399	326	22.524	6724	17.456	663	29.659	1467	20.164	1026	19.305	496	14.016	1678	20.205	172	24.736	426	16.557	2038	29.656	1670	14.524	4939	19.961	465	33.952	9736	29.368	609	25.369	269	31.189	2275	18.853	1021	14.583	1402	19.719	1164	19.095	306	28.779	1124	29.03	283	30.261	3775	31.17	11481	29.142	5127			32.02	57915			25.436	244	29.248	3723
		24.292	171	13.797	4795	22.498	946	25.352	48663	13.807	3713	34.48	2133	13.022	4665	25.171	2003	16.576	8602	13.299	430	16.106	976	23.579	365	14.033	1686	21.796	1040	16.234	1773	23.946	562	24.553	2571	12.325	1103	24.292	194	15.573	1139	16.635	3618	14.036	2028	16.663	791	14.246	775	14.544	3301	16.242	2311	14.603	1440	12.394	1127	15.209	2795	22.471	3722	12.941	2436	22.46	9505	21.02	2011	23.468	803	18.863	472	24.003	1463	25.549	990	24.545	2371	22.69	11595	17.676	203	29.763	3005	20.357	762	19.404	1839	14.225	590	20.355	406	24.825	256	16.639	310	29.76	1207	14.58	1970	20.349	1700	34.136	3639	29.46	612	25.446	300	31.325	2341	19.097	501	14.825	2475	19.935	25278	19.27	1058	29.149	948	29.145	1706	30.373	333	31.32	1655	29.242	6991			32.781	359			25.612	484	29.36	5897
		24.416	257	13.848	506	22.545	1073	25.403	202	13.859	656	34.677	9445	13.137	5166	25.347	53315	16.659	1626	13.411	7996	16.235	1938	23.671	875	14.244	586	21.839	695	16.66	1504	24.08	673	24.682	567	12.389	942	24.417	447	15.613	674	16.703	510	14.245	734	16.8	1234	14.287	1065	14.601	1842	16.34	444	14.843	2484	12.489	1511	15.328	818	22.535	4827	13.008	4224	22.531	3783	21.149	366	23.572	755	18.957	542	24.404	183	25.587	724	24.621	782	22.914	1970	18.448	1539	29.804	5613	20.478	489	19.566	780	14.266	861	20.65	3781	25.175	677	16.888	210	29.797	5026	14.662	809	20.643	7522	34.387	1816	29.522	2283	25.621	302	31.715	1660	19.169	284	14.923	15338	20.193	1524	19.404	1994	29.32	324	29.362	1717	30.505	8032	31.707	859	29.362	14521			32.926	5805			26.174	2808	29.433	2207
		24.508	294	13.909	196	22.663	6090	25.48	254	13.919	141	35.358	14403	13.181	1750	25.397	304	16.792	700	13.497	583	16.659	962	23.835	1584	14.285	970	22.109	349	16.78	435	24.351	1341	25.168	2495	12.486	1224	24.558	2328	15.777	934	16.97	2052	14.287	962	16.91	2158	14.386	2548	14.837	9960	16.413	1025	14.942	14792	12.555	3564	15.441	1837	22.681	6715	13.129	4339	22.673	9810	21.357	413	23.661	868	18.989	540	24.548	1702	25.699	954	24.667	1168	22.968	352	18.615	536	29.9	4855	20.645	8319	19.716	1224	14.351	16968	21.006	1669	25.267	154	16.947	479	29.896	2757	14.729	359	20.87	296	35.199	8113	29.921	382	26.111	249	32.025	59520	19.277	1895	15.198	2081	20.357	510	19.472	541	29.367	1244	29.511	861	30.638	6239	32.021	65451	29.438	8482			33.943	9806			26.282	467	29.509	2462
		24.558	2657	14.036	2496	22.933	1116	25.634	4091	14.045	1595	35.715	123623	13.304	464	25.474	282	16.837	130	13.554	73654	16.78	370	23.947	287	14.37	21274	22.448	10986	16.97	2792	24.506	230	25.343	64280	12.548	2874	24.639	810	15.861	3214	17.411	1181	14.371	16579	16.969	1625	14.447	2348	14.941	20585	16.452	368	15.217	3268	12.594	2144	15.507	562	23.151	2741	13.172	1900	23.149	3798	21.41	18152	23.935	258	19.107	499	24.915	1437	25.743	673	25.154	2635	23.084	149	18.688	517	30.025	505	21.006	4298	19.929	464	14.427	2319	21.34	313	25.321	890	17.1	1315	30.021	546	14.82	4011	21.009	752	35.265	7004	30.172	1625	26.182	3124	32.309	3991	19.41	2106	15.318	1111	20.694	1891	19.572	402	29.462	1043	29.612	245	30.737	4875	32.293	2372	29.512	9032			34.119	4438			26.358	749	29.652	1778
